m.01rftw	Arthur Rubinstein	m.0c6fz	Łódź	people.person.place_of_birth
m.02zfg3	Charles Durning	m.0y4t4	Highland Falls	people.person.place_of_birth
m.0h0wc	Meryl Streep	m.0xt3t	Summit	people.person.place_of_birth
m.0405yk	Norman Fell	m.0dclg	Philadelphia	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.01hlvhq	William Ackerman	m.082fr	West Germany	people.person.place_of_birth
m.0g0c1y	Ilram Choi	m.0rh6k	Washington, D.C.	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.02z76n	Emily Hart	m.0y98v	Sayville	people.person.place_of_birth
m.012j9q	Paul Lukas	m.095w_	Budapest	people.person.place_of_birth
m.06cv1	Robert Rodriguez	m.0f2w0	San Antonio	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.016kdv	Tom Hulce	m.02dtg	Detroit	people.person.place_of_birth
m.026ps1	Diana Krall	m.01t8rm	Nanaimo	people.person.place_of_birth
m.0bs_j5	Steve Berlin	m.0dclg	Philadelphia	people.person.place_of_birth
m.015qt5	Art Carney	m.0yc7f	Mount Vernon	people.person.place_of_birth
m.04w8rf	Rosanne Cash	m.0c_m3	Memphis	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.015dcj	Rock Hudson	m.0s5t_	Winnetka	people.person.place_of_birth
m.02mmxw	Ezio Pinza	m.06c62	Rome	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.07f0tw	Waheeda Rehman	m.048hhs	Tirunelveli	people.person.place_of_birth
m.01gw8b	Jill Clayburgh	m.02_286	New York City	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.02nwxc	Lili Taylor	m.0s4x9	Glencoe	people.person.place_of_birth
m.0856f6	Julia Varady	m.01pt7g	Oradea	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.012s9f	David Oistrakh	m.0ffmp	Odessa	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.0b9l3x	Michael Chapman	m.02_286	New York City	people.person.place_of_birth
m.072kfk	Sydney Chaplin	m.0k049	Beverly Hills	people.person.place_of_birth
m.02g1fl	Dave Alvin	m.0r066	Downey	music.artist.origin,people.person.place_of_birth
m.03m57bx	Oliver Wallace	m.04jpl	London	people.person.place_of_birth
m.0133x7	Sarah McLachlan	m.036k0s	Halifax Regional Municipality	people.person.place_of_birth,music.artist.origin
m.018qr9	Teresa Wright	m.0f94t	Harlem	people.person.place_of_birth
m.02szmg	Cornel West	m.013kcv	Tulsa	people.person.place_of_birth
m.0634qc	Rider Strong	m.0d6lp	San Francisco	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.0d608	Dan Aykroyd	m.05ksh	Ottawa	people.person.place_of_birth
m.048lv	Kevin Spacey	m.0207496	South Orange	people.person.place_of_birth
m.016q1r	Oliver Sacks	m.04jpl	London	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.0581nw	George Winston	m.04rrx	Michigan	people.person.place_of_birth
m.03hx15	Barbara Cook	m.013yq	Atlanta	people.person.place_of_birth,music.artist.origin,people.person.places_lived..people.place_lived.location
m.05cwzr	Steve Miner	m.01m1_d	Westport	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.01k_qd_	Jackie DeShannon	m.0td1m	Hazel	music.artist.origin,people.person.place_of_birth
m.0dr5y	John Carpenter	m.0y0p_	Carthage	people.person.place_of_birth
m.03_fk9	Vittorio Storaro	m.06c62	Rome	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.057ght	Martin Charnin	m.02_286	New York City	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.07s3vqk	Ray Charles	m.0rw2x	Albany	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.0btpx	Sharon Stone	m.0zw8f	Meadville	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.0ccfpt	Toshiyuki Nishida	m.0gp5vg	Koriyama	people.person.place_of_birth
m.0831fq	Matti Salminen	m.0c_zx	Turku	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.02lfns	Dominic Chianese	m.01531	The Bronx	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.012t1	Arthur Laurents	m.0cr3d	Brooklyn	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.06p0s1	Douglas Slocombe	m.04jpl	London	people.person.place_of_birth,people.person.places_lived..people.place_lived.location
m.033jkj	Megan Mullally	m.030qb3t	Los Angeles	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.03bggl	Van Heflin	m.0z55n	Walters	people.person.place_of_birth
m.01n3h6	Nick Tate	m.06y57	Sydney	people.person.place_of_birth
m.02_k_x	Red Buttons	m.02_286	New York City	people.person.place_of_birth
m.05tjgtq	Jeremy Bilding	m.02cl1	Denver	people.person.place_of_birth
m.022wxh	Todd Haynes	m.0281y0	Encino	people.person.place_of_birth
m.02988h	Dan Brown	m.01m9f1	Exeter	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.01l_yg	Christopher Lloyd	m.01m1zk	Stamford	people.person.places_lived..people.place_lived.location,people.person.place_of_birth
m.01sj7yt	Hunter Hayes	m.01_gt8w	Breaux Bridge	people.person.place_of_birth
